list_title,url,price,area,category,prop_type,prop_title1,prop_title2,bedrooms,bathroom,facilities,size,size_unit
New Luxury Freehold Residence 4min Walk to Mid Valley,https://www.mudah.my/New+Luxury+Freehold+Residence+4min+Walk+to+Mid+Valley-83376113.htm,597000,Mid Valley City,Apartments,Condo / Services residence / Penthouse / Townhouse,Freehold,Non Bumi Lot,1,2,,689.0,sq.ft.
Sri Putramas 1 1100sqft Jalan Kuching Below Market Good Condition,https://www.mudah.my/Sri+Putramas+1+1100sqft+Jalan+Kuching+Below+Market+Good+Condition-83716116.htm,405000,Jalan Kuching,Apartments,Condo / Services residence / Penthouse / Townhouse,Freehold,Non Bumi Lot,3,2,"Swimming Pool, Gymnasium, Tennis Court, Squash Court, Mini Market, Playground, Jogging Track, 24 Hour Security, Balcony/Patio, Cable TV",1100.0,sq.ft.
0% DOWNPAYMENT Arena Green 750SF Bukit Jalil [FREEHOLD+RENOVATED],https://www.mudah.my/0+DOWNPAYMENT+Arena+Green+750SF+Bukit+Jalil+FREEHOLD+RENOVATED+-83716108.htm,320000,Bukit Jalil,Apartments,Condo / Services residence / Penthouse / Townhouse,Freehold,Non Bumi Lot,3,2,"Mini Market, Playground, Jogging Track, 24 Hour Security, Balcony/Patio, Cable TV",878.0,sq.ft.
[Duplex Penthouse] Silk Residence Duplex Double Storey Penthouse Sale,https://www.mudah.my/+Duplex+Penthouse+Silk+Residence+Duplex+Double+Storey+Penthouse+Sale-83716267.htm,900000,Cheras,Apartments,Condo / Services residence / Penthouse / Townhouse,Freehold,Non Bumi Lot,6,7,"Swimming Pool, Gymnasium, Mini Market, Playground, 24 Hour Security",4177.0,sq.ft.
BELOW MARKET!! Menara D'Sara Condo Sri Damansara FULLY/F RENO 100%LOAN,https://www.mudah.my/BELOW+MARKET+Menara+D+Sara+Condo+Sri+Damansara+FULLY+F+RENO+100+LOAN-83716046.htm,380000,Sri Damansara,Apartments,Condo / Services residence / Penthouse / Townhouse,Freehold,Non Bumi Lot,3,2,"Swimming Pool, Gymnasium, Tennis Court, Squash Court, Mini Market, Playground, Jogging Track, 24 Hour Security, Balcony/Patio, Cable TV",1130.0,sq.ft.
Tmn Cheras Ria Apt Near Ampang & Pandan Indah (full Loan ),https://www.mudah.my/Tmn+Cheras+Ria+Apt+Near+Ampang+Pandan+Indah+full+Loan+-83147394.htm,140000,Cheras,Apartments,Apartment/ Flat,Freehold,Non Bumi Lot,3,1,"Squash Court, Mini Market, Playground",580.0,sq.ft.
Pandan Indah Ampang Dahlia Court Tingkat 2 Promo Bawah Harga Pasaran,https://www.mudah.my/Pandan+Indah+Ampang+Dahlia+Court+Tingkat+2+Promo+Bawah+Harga+Pasaran-80603261.htm,315000,Pandan Indah,Apartments,Condo / Services residence / Penthouse / Townhouse,Leasehold,Non Bumi Lot,3,2,"24 Hour Security, Balcony/Patio, Cable TV",836.0,sq.ft.
Danau Impian Condo Taman Desa 918sqft Below Market Good Condition,https://www.mudah.my/Danau+Impian+Condo+Taman+Desa+918sqft+Below+Market+Good+Condition-83716077.htm,310000,Taman Desa,Apartments,Condo / Services residence / Penthouse / Townhouse,Leasehold,Non Bumi Lot,3,2,"Swimming Pool, Gymnasium, Tennis Court, Squash Court, Mini Market, Playground, Jogging Track, 24 Hour Security, Balcony/Patio, Cable TV",940.0,sq.ft.
[Freehold] Sri Putramas 2 Condo Jalan Kuching Dutamas,https://www.mudah.my/+Freehold+Sri+Putramas+2+Condo+Jalan+Kuching+Dutamas-83716235.htm,550000,Jalan Kuching,Apartments,Condo / Services residence / Penthouse / Townhouse,Freehold,Non Bumi Lot,3,2,"Swimming Pool, Gymnasium, Tennis Court, Mini Market, Playground, Jogging Track, 24 Hour Security, Balcony/Patio, Cable TV",1300.0,sq.ft.
Taman Desa New Project Cheras Kuala Lumpur,https://www.mudah.my/Taman+Desa+New+Project+Cheras+Kuala+Lumpur-83715951.htm,230000,Kuchai Lama,Apartments,Apartment/ Flat,Leasehold,Non Bumi Lot,3,2,"Swimming Pool, Playground, Jogging Track, 24 Hour Security, Balcony/Patio",850.0,sq.ft.
Corner Unit Nearby to MRT Condominium 1 Petaling Residences,https://www.mudah.my/Corner+Unit+Nearby+to+MRT+Condominium+1+Petaling+Residences-78976462.htm,445000,Sungai Besi,Apartments,Condo / Services residence / Penthouse / Townhouse,Leasehold,Bumi Lot,3,2,"Swimming Pool, Gymnasium, Mini Market, Playground, Jogging Track, 24 Hour Security, Balcony/Patio, Cable TV",1141.0,sq.ft.
Condominium seri mas condo,https://www.mudah.my/Condominium+seri+mas+condo-83715919.htm,350000,Cheras,Apartments,Condo / Services residence / Penthouse / Townhouse,Leasehold,Bumi Lot,3,2,"Swimming Pool, 24 Hour Security, Balcony/Patio",900.0,sq.ft.
[ 0% DOWNPAYMENT ] Maxim Residence Cheras 825sqft Pool View BELOW MV,https://www.mudah.my/+0+DOWNPAYMENT+Maxim+Residence+Cheras+825sqft+Pool+View+BELOW+MV-83715914.htm,360000,Cheras,Apartments,Condo / Services residence / Penthouse / Townhouse,Leasehold,Non Bumi Lot,2,2,"Swimming Pool, Gymnasium, Tennis Court, Squash Court, Mini Market, Playground, Jogging Track, 24 Hour Security, Balcony/Patio, Cable TV",825.0,sq.ft.
Ketumbar Height Condo Pool View/ Low Floor- 100% Loan,https://www.mudah.my/Ketumbar+Height+Condo+Pool+View+Low+Floor+100+Loan-83715587.htm,250000,Cheras,Apartments,Condo / Services residence / Penthouse / Townhouse,Freehold,Non Bumi Lot,3,2,"Swimming Pool, Gymnasium, Tennis Court, Squash Court, Mini Market, Playground, Jogging Track, 24 Hour Security, Balcony/Patio, Cable TV",903.0,sq.ft.
Pangsapuri Bangsar Utama KUALA LUMPUR,https://www.mudah.my/Pangsapuri+Bangsar+Utama+KUALA+LUMPUR-83486303.htm,355000,Bangsar,Apartments,Apartment/ Flat,Leasehold,Bumi Lot,3,2,,1000.0,sq.ft.
TAMAN KOSAS 20X70 Rumah 2 Tingkat Semi Renovated unit terbaik!!,https://www.mudah.my/TAMAN+KOSAS+20X70+Rumah+2+Tingkat+Semi+Renovated+unit+terbaik+-83715856.htm,623000,Others,Houses,Double storey,Leasehold,Non Bumi Lot,4,3,"Mini Market, Playground, Jogging Track, Balcony/Patio, Cable TV",1400.0,sq.ft.
"Casa Magna, Metro Prima, Kepong, Near Aeon Shopping Mall, MRT Station",https://www.mudah.my/Casa+Magna+Metro+Prima+Kepong+Near+Aeon+Shopping+Mall+MRT+Station-83715849.htm,358000,Kepong,Apartments,Condo / Services residence / Penthouse / Townhouse,Leasehold,Non Bumi Lot,3,2,"Tennis Court, 24 Hour Security, Balcony/Patio",1004.0,sq.ft.
"Tunku Abdul Rahman 2.5 Storey Shop For Sale, Kuala Lumpur",https://www.mudah.my/Tunku+Abdul+Rahman+2+5+Storey+Shop+For+Sale+Kuala+Lumpur-83715842.htm,7750000,KL City,Commercial,Shop lot,Freehold,Non Bumi Lot,,,,1980.0,sq.ft.
Taman Desa New project Cheras Kuala Lumpur,https://www.mudah.my/Taman+Desa+New+project+Cheras+Kuala+Lumpur-83695202.htm,230000,Cheras,Apartments,Condo / Services residence / Penthouse / Townhouse,Leasehold,Non Bumi Lot,3,2,"Swimming Pool, Playground, 24 Hour Security, Balcony/Patio",850.0,sq.ft.
0% DOWNPAYMENT Lestari Apartment 820SF Permaisuri Cheras[BELOW MARKET],https://www.mudah.my/0+DOWNPAYMENT+Lestari+Apartment+820SF+Permaisuri+Cheras+BELOW+MARKET+-83715785.htm,280000,Cheras,Apartments,Condo / Services residence / Penthouse / Townhouse,Leasehold,Non Bumi Lot,3,2,"Swimming Pool, Gymnasium, Tennis Court, Squash Court, Mini Market, Playground, Jogging Track, 24 Hour Security, Balcony/Patio, Cable TV",820.0,sq.ft.
TERMURAH Mawar Sari Apartment Setiawangsa,https://www.mudah.my/TERMURAH+Mawar+Sari+Apartment+Setiawangsa+-83715733.htm,350000,Setiawangsa,Apartments,Apartment/ Flat,Leasehold,Bumi Lot,3,2,"Mini Market, Playground, Jogging Track, 24 Hour Security, Cable TV",952.0,sq.ft.
Cheras Taman Kobena Apartment Taman Pertama Very Nice,https://www.mudah.my/Cheras+Taman+Kobena+Apartment+Taman+Pertama+Very+Nice-82917414.htm,108000,Cheras,Apartments,Apartment/ Flat,Leasehold,Non Bumi Lot,2,2,,585.0,sq.ft.
You vista Studio / Cheras /Near To Mrt / 100% Loan / Below Market,https://www.mudah.my/You+vista+Studio+Cheras+Near+To+Mrt+100+Loan+Below+Market-83715723.htm,310000,Cheras,Apartments,Condo / Services residence / Penthouse / Townhouse,Freehold,Non Bumi Lot,1,1,"Swimming Pool, Gymnasium, Tennis Court, Squash Court, Mini Market, Playground, Jogging Track, 24 Hour Security, Balcony/Patio, Cable TV",533.0,sq.ft.
(LOW DENSITY) Lojing Height Condominium Seksyen 5 Wangsa Maju Below MV,https://www.mudah.my/+LOW+DENSITY+Lojing+Height+Condominium+Seksyen+5+Wangsa+Maju+Below+MV-83700917.htm,550000,Wangsa Maju,Apartments,Condo / Services residence / Penthouse / Townhouse,Leasehold,Bumi Lot,3,2,"Swimming Pool, Playground, 24 Hour Security, Balcony/Patio",1582.0,sq.ft.
Suria Jelatek for Sale,https://www.mudah.my/Suria+Jelatek+for+Sale-83715632.htm,525000,Jalan Ampang,Apartments,Apartment/ Flat,Leasehold,Non Bumi Lot,3,2,"Swimming Pool, Gymnasium, Mini Market, Playground, Jogging Track, 24 Hour Security, Balcony/Patio",1420.0,sq.ft.
(RUMAH CANTIK)(MURAH) Pangsapuri Jati Selatan Desa Petaling KL,https://www.mudah.my/+RUMAH+CANTIK+MURAH+Pangsapuri+Jati+Selatan+Desa+Petaling+KL-83715154.htm,270000,Desa Petaling,Apartments,Condo / Services residence / Penthouse / Townhouse,Leasehold,Bumi Lot,3,2,"Mini Market, Playground, Jogging Track, 24 Hour Security, Balcony/Patio, Cable TV",826.0,sq.ft.
